param S :=
1   1   7.9
1   2   2.0
1   3   5.2
1   4   4.9
1   5   6.1
1   6   4.2
2   1   0.7
2   2   0.8
2   3   0.9
2   4   3.4
2   5   2.1
2   6   2.5
3   1   0.7
3   2   2.6
3   3   1.6
3   4   3.6
3   5   3.2
3   6   2.9
4   1   4.7
4   2   2.3
4   3   1.6
4   4   2.7
4   5   1.2
4   6   2.5
5   1   1.2
5   2   3.6
5   3   2.4
5   4   4.5
5   5   1.6
5   6   2.1;

param t :=
1   1   6.4
1   2   4.7
1   3   8.3
1   4   3.9
1   5   2.1
1   6   1.2
2   1   6.8
2   2   6.4
2   3   6.5
2   4   4.4
2   5   2.3
2   6   3.2
3   1   1
3   2   6.3
3   3   5.4
3   4   11.9
3   5   5.7
3   6   6.2
4   1   3.2
4   2   3
4   3   3.5
4   4   3.3
4   5   2.8
4   6   3.4
5   1   2.1
5   2   2.5
5   3   4.2
5   4   3.6
5   5   3.7
5   6   2.2;
